document_id,source,document,label,rlf,nf,root_word,rlf_sent,rand_sent,rlf_sent_pred_label,rand_sent_pred_label,word_list,imp_score,final_rlf_label,final_rand_label,is_ellipses,imp_quality,rlf_sent_len,rand_sent_len,doc_len
XxXvgDwAl2hL61hVfMBnuw,Yelp,Not me thinking about Johnny Sanchez for every meal. This spot is fantastic!!! Love the salsa and happy hour drinks!  DELISH,1,fantastic!!!,fantastic!+,fantastic!,This spot is fantastic!!!,Love the salsa and happy hour drinks!,1,1,['This' 'spot' 'is' 'fantastic!!!'],[2 2 1 5],1,1,0,5.0,4,7,21
cy9KENpbOwxEZ4EIH2ckHQ,Yelp,"Wish I could rate this place at 0 stars because it doesn't even deserve a 1. I'm a beyond frustrated at how my car has been handled. My engine was over heating and I had my car towed to the dealership, before it got there I called the service desk to let them know. The girl took all the information down (this was at 10am) I get a call at 1:30 pm asking why my car was brought in and what needs to be looked at. I was dumbfounded! So it took me calling twice to even reach the guy and finally explain what happened. Well I didn't here anything from the guy all day. Left him a voicemail at 4:30 and didn't get a call back. Well at 5:30 I called again and the girl at the front desk stated that he was already gone for the day (they don't close till 6:30) and she stated he was the only one who could pull up my file. ITS THANKSGIVING WEEK AND I HAVE TO WORK. So now I have to wait for tomorrow morning for them to open up and get this situated. Plus this isn't the first time they messed things up. Last time I had to take my car here they didn't fix my car correctly and it was leaking oil everywhere. I tried not taking it here but sadly the Lakeland and plant city dealership were all booked up. You would think having an appointment would help with the miscommunication but it doesn't. In other words, run the other way!!! DO NOT TAKE YOUR CAR HERE!!!",0,way!!!,way!+,way!,"In other words, run the other way!!!",I was dumbfounded!,0,0,"['In' 'other' 'words,' 'run' 'the' 'other' 'way!!!']",[1 2 1 2 1 2 5],0,0,0,5.0,7,3,270
A2SFCXJGIEE3E5,Amazon_Reviews/Books,"Great book, I love it! A must read!!!",1,read!!!,read!+,read!,A must read!!!,"Great book, I love it!",1,1,['A' 'must' 'read!!!'],[1 3 5],1,1,0,5.0,3,5,8
jjfaW-fF9sS22eNbgST8WQ,Yelp,"We ended our trip visiting this great spot that was recommended by a local. It's located in the uptown area which is about 15 to 20 mins from French Quarter area. Tuesday nights apparently are the best nights. We got to see Rebirth band and they we're great! While the band took a break we went outside to get fresh air and saw a lady who was selling street food. Her name is Daniel and her company is called ""Lovechild's Catering & Sweets"" She had jambalaya, chicken, Marconi & Cheese and seafood pasta.  Everything was so good and hot!!! Make sure to stop by and get some food. Love Maple leaf and will definitely return on my next visit to Nola.",1,hot!!!,hot!+,hot!,Everything was so good and hot!!!,We ended our trip visiting this great spot that was recommended by a local.,1,1,['Everything' 'was' 'so' 'good' 'and' 'hot!!!'],[2 1 3 4 1 5],1,1,0,4.5,6,14,121
A2Y0NOPV1S9X4M,Amazon_Reviews/Electronics,I purchased this same item a couple of years ago and was disappointed by the short cord on the car charger - could barely reach from the charger to the dash. This new version has a much longer cord...YAY. Finally I can stop worrying that I'll go around a corner too fast and unplug the charger!!!  And it's also great to have a wall charger to fully charge the devise. The car charger doesn't charge well if you're using the devise at the same time. Just used this in a rental car for a trip from SF to LA...got it just in the nick of time.,1,charger!!!,charger!+,charger!,Finally I can stop worrying that I'll go around a corner too fast and unplug the charger!!!,Just used this in a rental car for a trip from SF to LA...,1,1,"['Finally' 'I' 'can' 'stop' 'worrying' 'that' ""I'll"" 'go' 'around' 'a'
 'corner' 'too' 'fast' 'and' 'unplug' 'the' 'charger!!!']",[3 2 2 3 4 1 2 2 2 1 2 3 3 1 3 1 5],1,1,0,5.0,17,14,106
77157670,TripAdvisor,"What a wonderful place the Hotel Palomar is. I did not walk through the lobby once without at least one warm hello. The Valet and Bellhops were soooo nice and helpful. I really felt so at home. I loved all the treats that were in the lobby every couple of hours. The rooms were so spacious and clean. Truly a find and as soon as I finish reading The Lost Symbol, we will be back to see you. Thank you so much for a wonderful, clean, friendly atmosphere and holte.",1,soooo,so+,so,The Valet and Bellhops were soooo nice and helpful.,I loved all the treats that were in the lobby every couple of hours.,1,1,['The' 'Valet' 'and' 'Bellhops' 'were' 'soooo' 'nice' 'and' 'helpful.'],[1 2 1 2 1 5 4 1 4],1,1,0,5.0,9,14,90
MuKE_OLVgOZBfguXyQXJiA,Yelp,"Painting is sooooooo much fun! I took two of my out-of-town guests to paint Café Du Monde one Friday evening. Since they'd never been to New Orleans, they knew nothing of Beignets, powdered sugar or Café au lait! We painted for 3 hours and created our own respective masterpieces. The next day, we went to experience Café Du Monde in the French Quarter. What a wonderful, kismet experience where life imitated art!

Thanks Corks & Canvas!",1,sooooooo,so+,so,Painting is sooooooo much fun!,We painted for 3 hours and created our own respective masterpieces.,1,1,['Painting' 'is' 'sooooooo' 'much' 'fun!'],[2 1 5 3 5],1,1,0,5.0,5,11,76
A2J84GCGMEWX9X,Amazon_Reviews/Books,"I have read the first four books recently, and I am in love with them!  My favorite characters are Pixle and the Unicorns- they are wonderful! Dondar is my favorite world because of the Unicorns and Dragons, and I love all of the magical trials they go through.  These books are sooo incredible, and everyone should read them!",1,sooo,so+,so,"These books are sooo incredible, and everyone should read them!","I have read the first four books recently, and I am in love with them!",1,1,"['These' 'books' 'are' 'sooo' 'incredible,' 'and' 'everyone' 'should'
 'read' 'them!']",[2 2 1 5 5 2 3 2 3 4],1,1,0,5.0,10,15,58
uHjvPsEMfzzkTa6_YuLs2g,Yelp,If I could I would rate this experience as a 0 but I could not We ordered food from here on 12/10/20 and the food was horrible. We ordered two platters of oxtails and they were not done. The beans in the rice were brick hard as if they never got cooked and my nephew found a false eye lash in his rice. I ordered a jerk wing platter and one of the wings literally had a long ass piece of hair cooked and baked on one of the drum legs and the yams were not fresh we called and took the good back to the store and the manager was very rude and ignorant and refused to look at the nasty food that was sold to us! I will NOT be returning back to this store!!!!!!,0,store!!!!!!,store!+,store!,I will NOT be returning back to this store!!!!!!,If I could I would rate this experience as a 0 but I could not We ordered food from here on 12/10/20 and the food was horrible.,0,0,['I' 'will' 'NOT' 'be' 'returning' 'back' 'to' 'this' 'store!!!!!!'],[2 2 5 1 4 3 1 2 5],0,0,0,5.0,9,27,137
qTg0bhfLeVekuAFEcsa-aA,Yelp,"I love their creamy chicken garlic pizza!!! It's absolutely delicious and I can't wait to go back. By far they are one of good tasty ones out here in Boise. I'm originally from the Bay Area and we have some pretty good pizza places back home, so it's nice to have a good pizza place to go to out here in Boise :)",1,pizza!!!,pizza!+,pizza!,I love their creamy chicken garlic pizza!!!,By far they are one of good tasty ones out here in Boise.,1,1,['I' 'love' 'their' 'creamy' 'chicken' 'garlic' 'pizza!!!'],[2 5 2 4 3 3 5],1,1,0,5.0,7,13,63
