document_id,source,document,label,rlf,nf,root_word,rlf_sent,rand_sent,word_list,imp_score
A2BD7740B646T8,Amazon_Reviews/Books,"I totally fell in love with this story from the beginning, the heartache,
the faith and the love of all the characters... You to will find this story
inspiring....",1,inspiring....,inspiring...+,inspiring...,You to will find this story inspiring....,"I totally fell in love with this story from the beginning, the heartache, the faith and the love of all the characters...",['You' 'to' 'will' 'find' 'this' 'story' 'inspiring....'],[2 1 1 2 1 2 5]
XxXvgDwAl2hL61hVfMBnuw,Yelp,Not me thinking about Johnny Sanchez for every meal. This spot is fantastic!!! Love the salsa and happy hour drinks!  DELISH,1,fantastic!!!,fantastic!+,fantastic!,This spot is fantastic!!!,Love the salsa and happy hour drinks!,['This' 'spot' 'is' 'fantastic!!!'],[2 2 1 5]
A30VJAAAFV3G2S,Amazon_Reviews/Books,"beautiful book....one to pick up over and over again, looking for just the right inspirational blessing for the moment....",1,book....,book...+,book...,beautiful book....,"one to pick up over and over again, looking for just the right inspirational blessing for the moment....",['beautiful' 'book....'],[5 2]
A21T2I6W8U9WOW,Amazon_Reviews/Books,"Not wanting to give too much away in a review but: Enthralling, engaging, fast paced and super smart! Giving a couple copies to friends for Christmas! Don't have to like politics to like this book!!!",1,book!!!,book!+,book!,Don't have to like politics to like this book!!!,Giving a couple copies to friends for Christmas!,"[""Don't"" 'have' 'to' 'like' 'politics' 'to' 'like' 'this' 'book!!!']",[4 2 2 2 2 2 2 1 5]
A3EJWHD1J4ZBIF,Amazon_Reviews/Books,"Great read! I can hardly wait for the next book!!! Love Trint, hope he gets to reunite with his friends in the next book?",1,book!!!,book!+,book!,I can hardly wait for the next book!!!,"Love Trint, hope he gets to reunite with his friends in the next book?",['I' 'can' 'hardly' 'wait' 'for' 'the' 'next' 'book!!!'],[2 1 2 3 1 1 2 5]
A3BFHPDAAK1VEN,Amazon_Reviews/Books,This was one of the best in the series! Alexei & Gabriella have amazing chemistry. I loved every single minute of it!!!!,1,it!!!!,it!+,it!,I loved every single minute of it!!!!,Alexei & Gabriella have amazing chemistry.,['I' 'loved' 'every' 'single' 'minute' 'of' 'it!!!!'],[2 5 3 2 2 1 5]
A3IFAN5OZ02OYQ,Amazon_Reviews/Books,"I'm with a wonderful Thai lady now. I have to say from my experience everything that you say is true. If you go into one of these relationships with your eyes open it can be a life changing experience....in a beautiful and positive way.
Thank you for your insights,
Ezra",1,experience....,experience...+,experience...,If you go into one of these relationships with your eyes open it can be a life changing experience....,I have to say from my experience everything that you say is true.,"['If' 'you' 'go' 'into' 'one' 'of' 'these' 'relationships' 'with' 'your'
 'eyes' 'open' 'it' 'can' 'be' 'a' 'life' 'changing' 'experience....']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 4]
126398214,TripAdvisor,"This hotel was one of the worst hotels I've been in my life. The bed had springs sticking you in your back, and it made squeaking noises everytime you turn....We were in a room with one bed and the bed was a twin bed......The carpet was filthy. The towels were dirty, and they had hair sticking out of them....The towels had stains all over them.....i didn't even take a shower there my husband and I just washed our faces, brushed our teeth, and got out of there as fast as possible when daylight hit.....I checked the bed to make sure there were no bedbugs, because the room looked like bedbugs could be hidden somewhere in there, and although I didn't get bitten by bedbugs I did see a roach crawling in the bathroom. If you read this review don't stay at this hotel it is horrible. I booked this room from Choice Rewards, and this hotel should be removed from their list....This hotel is not up to their standards.....and the pictures they show don't look anything like the room I stayed in.....",0,turn....,turn...+,turn...,"The bed had springs sticking you in your back, and it made squeaking noises everytime you turn....",This hotel was one of the worst hotels I've been in my life.,"['The' 'bed' 'had' 'springs' 'sticking' 'you' 'in' 'your' 'back,' 'and'
 'it' 'made' 'squeaking' 'noises' 'everytime' 'you' 'turn....']",[1 2 1 2 3 1 1 1 3 1 1 1 3 3 2 1 2]
2204444643,Twitter,hmmm not reli feeling good today.. don't know.. maybe i miss home ,0,hmmm,hmm+,hmm,hmmm not reli feeling good today..,maybe i miss home,['hmmm' 'not' 'reli' 'feeling' 'good' 'today..'],[3 3 2 3 3 3]
4IH4_hWvJiLjcHtGYI8VWw,Yelp,"If I could give it no stars I would this place was horrible!!! Dirty ""clean"" towels!! Dirty ""clean"" comforters ughhhhh the pull out bed is ridiculous all you could feel is the springs and the metal frame. I do not recommend staying here.",0,ughhhhh,ugh+,ugh,"Dirty ""clean"" comforters ughhhhh the pull out bed is ridiculous all you could feel is the springs and the metal frame.",If I could give it no stars I would this place was horrible!!!,"['Dirty' '""clean""' 'comforters' 'ughhhhh' 'the' 'pull' 'out' 'bed' 'is'
 'ridiculous' 'all' 'you' 'could' 'feel' 'is' 'the' 'springs' 'and' 'the'
 'metal' 'frame.']",[3 2 2 4 1 2 1 2 1 3 1 1 1 2 1 1 2 1 1 2 2]
